Reviewed,track_id,title,artist,youtube_url,genre,is_instrumental,mood_tags,tempo_bpm,valence,arousal,description
Under review,track_38,Srishti Sukher Ullashe,Kazi Sabyasachi,https://www.youtube.com/watch?v=4rZtd9XRb1E,Nazrul Geeti,FALSE,"tense, energetic, dramatic, agitated",,-0.25,0.75,"A highly intense, rapid recital of Nazrul's poem of creation and destruction, backed by dramatic orchestration."
Under review,track_39,Dhitang Dhitang Bole,Hemanta Mukhopadhyay,https://www.youtube.com/watch?v=xaKWd3a6o74,Old Movie Songs,FALSE,"joyful, energetic, celebratory, hopeful",,0.75,0.75,"Upbeat rhythmic song mimicking the beat of the madol drum, promoting immediate physical movement and positive mood."
Under review,track_40,Poush Toder Dak Dieche,Lopamudra Mitra,https://www.youtube.com/watch?v=s6KWSLn0_pw,Rabindra Sangeet,FALSE,"joyful, energetic, celebratory, uplifting",,0.75,0.5,"Uplifting harvest song celebrating winter fields, utilizing joyful, fast-paced acoustic rhythms."
Under review,track_41,Khachar Bhitor Achin Pakhi (Upbeat),Coke Studio Bangla,https://www.youtube.com/watch?v=g6Y6kKwkhcY,Folk & Baul,FALSE,"joyful, energetic, hopeful, spiritual",,0.5,0.5,"Upbeat folk rendition with driving rhythm, lifting the mood with spiritual and traditional sounds."
Under review,track_42,Tomar Ghore Bosot Kore,Folk Band,https://www.youtube.com/watch?v=lYg7gzSF434,Folk & Baul,FALSE,"joyful, energetic, celebratory, playful",,0.75,0.75,"A fast-paced, highly rhythmic folk song with dotara and flutes, encouraging dancing and lighthearted joy."
Approved,track_43,Emon Manush Pailam Na,Fusion Band,https://www.youtube.com/watch?v=QcmMv1RfziU,Bengali Band,FALSE,"joyful, energetic, hopeful, uplifting",,0.5,0.5,"A fusion rock cover of a popular baul track, lifting energy and providing emotional drive."
Approved,track_44,Pagla Hawa Badal Dine (Upbeat),Somlata Acharyya Chowdhury,https://www.youtube.com/watch?v=N0b7f6Rv9bA,Rabindra Sangeet,FALSE,"joyful, energetic, hopeful, playful",,0.75,0.5,"A modern, bouncy rendition of the classic storm song, shifting feelings of anxiety to pure excitement and release."
Approved,track_46,Bela Bose,Anjan Dutt,https://www.youtube.com/watch?v=HKrou2ENSe8,Modern Acoustic,FALSE,"reflective, nostalgic, bittersweet, dramatic",,0,0,"A famous story-song representing middle-class struggles, with a bittersweet telephone call climax, perfect for conversational transitions."
Approved,track_47,Amaro Porano Jaha Chay (Esraj),Classic Esraj Player,https://www.youtube.com/watch?v=DUip86xgIOc,Rabindra Sangeet,TRUE,"reflective, calm, sad, longing",,-0.25,-0.5,Solitary Esraj performance of a melancholic tune. Provides a highly reflective transitional anchor for quiet sessions.
Approved,track_49,Jhoro Jhoro Borishe (Esraj),Classical Esraj Ensemble,https://www.youtube.com/watch?v=vMh-HZq9fGw,Rabindra Sangeet,TRUE,"reflective, calm, sad, soothing",,-0.25,-0.5,"Flute instrumental representing rain, helping transition users from a highly tense state down to quiet reflection."
Approved,track_50,Bhalobashi Bhalobashi,Debabrata Biswas,https://www.youtube.com/watch?v=mCq-t5vMnJY,Rabindra Sangeet,FALSE,"reflective, peaceful, comforting, hopeful",,0.25,-0.25,"A calm, deep vocal performance focusing on love for the world, serving as a warm bridge to complete calm."
